Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
44462,2020-10-20,41.37,7.86,2020,49.236338673581315,-0.006338673581318233
44483,2020-10-21,91.97,17.47,2020,109.4462211537395,-0.006221153739502938
44490,2020-10-21,269.98,51.3,2020,321.285806798982,-0.005806798982007422
44492,2020-10-21,275.3,52.31,2020,327.6157944589166,-0.005794458916568601
44522,2020-10-22,146.79,27.89,2020,174.6860934780462,-0.006093478046182099
44561,2020-10-24,45.38,8.62,2020,54.006329426064354,-0.006329426064354493
44638,2020-10-26,28.21,5.36,2020,33.57636926465184,-0.006369264651837625
44644,2020-10-26,421.86,80.15,2020,502.0154538538285,-0.005453853828498723
44645,2020-10-26,141.76,26.93,2020,168.6961053556614,-0.006105355661389922
44650,2020-10-27,1604.09,304.78,2020,1908.8727039458472,-0.002703945847315481
44654,2020-10-27,10.13,1.92,2020,12.056411514916189,-0.006411514916187855
44722,2020-10-28,45.71,8.69,2020,54.40632835504398,-0.006328355043983436
44723,2020-10-28,84.5,16.06,2020,100.56623814091029,-0.0062381409102840735
44732,2020-10-28,153.95,29.25,2020,183.2060768418544,-0.00607684185442281
44806,2020-10-29,247.32,46.99,2020,294.3158596931553,-0.005859693155287005
44857,2020-10-30,50.83,9.66,2020,60.496316563292496,-0.006316563292493527
44947,2020-11-02,26.75,5.08,2020,31.836372768435623,-0.006372768435625176
45082,2020-11-02,46.36,8.81,2020,55.17632698878012,-0.006326988780116949
45090,2020-11-02,34.29,6.51,2020,40.80635533990125,-0.006355339901254808
